"kata"
"cekik"
"cari"
"cemar"
"cibir"
"colok"
"cubit"
"damba"
"dengkur"
"dera"
"derita"
"dikte"
"diskredit"
"distorsi"
"dorong"
"duga"
"dunia"
"tegak"
"teguk"
"tegur"
"tekan"
"tel"
"teliti"
"tembak"
"menentramkan"
"tertawa"
"tetap"
"menetralisir"
"abai"
"acau"
"kaget"
"ajak"
"alih"
"alir"
"amputasi"
"amuk"
"anggur"
"aniaya"
"asih"
"katai"
"ayun"
"kecuali"
"kejar"
"ejek"
"eksekusi"
"ekspos"
"kelabu"
"keluh"
"emis"
"kepung"
"erang"
"keri"
"keruk"
"gambar"
"gantung"
"gelegar"
"gelepar"
"geliat"
"geli"
"gari"
"gemas"
"genang"
"gerutu"
"gigil"
"guling"
"gumpal"
"guncang"
"gusur"
"hadap"
"hakim"
"halau"
"hambat"
"hambur"
"hantam"
"hantu"
"haru"
"hias"
"hibur"
"hidup"
"menghisap"
"hukum"
"mengigil"
"kikis"
"ilham"
"infeksi"
"ingkar"
"injak"
"intai"
"invasi"
"khianat"
"obar"
"obat"
"oceh"
"olok"
"omel"
"oyak"
"uap"
"kucil"
"ulur"
"undi"
"uras"
"urung"
"usir"
"usut"
"kutuk"
"nikmat"
"nilai"
"timbul"
"timbun"
"tingkat"
"tipu"
"tisik"
"jejal"
"jemu"
"jerat"
"tolak"
"nonaktif"
"tuding"
"tuduh"
"tular"
"tumbang"
"tunang"
"tuntut"
"turun"
"tusuk"
"tutup"
"menyalahgunakan"
"salak"
"samar"
"sambut"
"sangkal"
"sebal"
"sedot"
"segar"
"selinap"
"selundup"
"sembunyi"
"sembur"
"senang"
"sendiri"
"sensor"
"serah"
"seram"
"serang"
"serap"
"serbu"
"seret"
"seringai"
"sesal"
"sesat"
"siksa"
"simpang"
"singgung"
"singkir"
"sita"
"sobek"
"sogok"
"suap"
"sumbat"
"susup"
"merah"
"rajalela"
"rampok"
"merana"
"rangkak"
"rangsang"
"rata"
"ratap"
"rawat"
"raya"
"rebut"
"reda"
"remeh"
"rendah"
"rengek"
"renung"
"resah"
"revitalisasi"
"riah"
"meriam"
"merinding"
"ringan"
"mering"
"risau"
"robek"
"rundung"
"rusak"
"meski"
"mesra"
"mesum"
"mimpi"
"minim"
"miring"
"mirip"
"miris"
"monoton"
"montok"
"muah"
"muak"
"muda"
"multitalenta"
"murah"
"muram"
"murni"
"murung"
"naif"
"naik"
"nang"
"nasib"
"naudzubillah"
"negatif"
"nekat"
"neraka"
"ngaku-ngaku"
"ngeles"
"ngeri"
"ngobrol"
"ngomel"
"nol"
"nomor"
"nonsens"
"norak"
"normal"
"numpang"
"nyai"
"nyampah"
"nyenyak"
"nyepam"
"nyeri"
"nyerocos"
"nyindir"
"nyinyir"
"nyungsep"
"oh"
"ok"
"okay"
"oke"
"om"
"omg"
"omong"
"omongkosong"
"openminded"
"oposisi"
"optimal"
"optimis"
"optimisme"
"otentik"
"otokrasi"
"otokrat"
"padat"
"pahala"
"pahit"
"pajak"
"pamer"
"pangsit"
"panik"
"panjang"
"pantas"
"pantura"
"panutan"
"paranoid"
"parasit"
"parau"
"partisi"
"party"
"parut"
"patut"
"payah"
"candu"
"cundang"
"peduli"
"lacur"
"lari"
"pelit"
"longgar"
"pelosok"
"peluru"
"baja"
"bangkang"
"bantai"
"berang"
"berontak"
"ronta"
"pelihara"
"peras"
"mogok"
"mula"
"tanggung"
"tawar"
"pendek"
"diri"
"tebus"
"netral"
"pengap"
"kecut"
"embara"
"ganti"
"isap"
"undur"
"ungsi"
"pensiun"
"penting"
"penuh"
"penyalahgunaan"
"sembah"
"sihir"
"penyok"
"susut"
"peperangan"
"perangkap"
"cerai"
"percuma"
"perfeksionis"
"pergola"
"perhati"
"perih"
"perintah"
"perkara"
"kelahi"
"seteru"
"tempur"
"usak"
"perzinahan"
"pesat"
"pesimis"
"pesona"
"petcah"
"pler"
"picik"
"pidana"
"pikun"
"pincang"
"pingsan"
"pintar"
"pionir"
"pisau"
"popularitas"
"positif"
"prahara"
"produktif"
"propaganda"
"proporsional"
"protes"
"punah"
"pusing"
"racun"
"radang"
"radian"
"radikal"
"rahmat"
"rakasa"
"rapi"
"rapuh"
"ras"
"reaktif"
"redup"
"regang"
"rentan"
"repot"
"runtuh"
"resmi"
"revolusi"
"rewel"
"riang"
"roboh"
"romantis"
"ruam"
"rumit"
"rumor"
"sabar"
"sabotase"
"saham"
"salut"
"sampah"
"santai"
"saraf"
"sederhana"
"sedu-sedan"
"sehat"
"sekarat"
"kilas"
"seksi"
"selamat"
"sementara"
"sempurna"
"sengat"
"sengit"
"sengketa"
"sensasi"
"sensitif"
"sentimental"
"senyum"
"sepele"
"seperti"
"pintas"
"serampang"
"serasi"
"rem"
"sesuai"
"sesumbar"
"setan"
"tuju"
"wenang"
"sexy"
"sial"
"siap"
"sibuk"
"sigap"
"sikap"
"sila"
"silau"
"siluman"
"simpan"
"simpati"
"sindir"
"singkat"
"sinis"
"sinting"
"sipit"
"sirik"
"skandal"
"skors"
"sok"
"sopan"
"spam"
"spektakuler"
"spesial"
"stabil"
"statis"
"stres"
"stress"
"sumbang"
"sunyi"
"supel"
"super"
"surga"
"surut"
"suspensi"
"syirik"
"syok"
"taat"
"tabu"
"tai"
"takhayul"
"tandus"
"tanggungjawab"
"tarif"
"tawan"
"tawur"
"teduh"
"tega"
"tegas"
"teguh"
"telat"
"tempa"
"tenang"
"tenggang"
"tenggelam"
"tengik"
"tentu"
"amat"
"terampil"
"terang-benderang"
"terang"
"atur"
"bahak"
"bata"
"belah"
"dakwa"
"depresiasi"
"favorit"
"teriak"
"isak"
"jaga"
"jawab"
"kata"
"kekek"
"kenal"
"kendali"
"kes"
"kulai"
"latih"
"letak"
"lindung"
"motivasi"
"obsesi"
"teror"
"teroris"
"terpa"
"pencil"
"peranjat"
"sedak"
"sedu"
"selubung"
"sembuh"
"sentak"
"tegun"
"tunduk"
"tiba"
"tinggi"
"tinju"
"tipis"
"toleran"
"toleransi"
"tolol"
"tombak"
"top"
"totalitas"
"tragedi"
"tragis"
"trauma"
"trouble"
"tua"
"tuh"
"tuli"
"tulus"
"tumpah"
"tumpul"
"tunggak"
"udik"
"ultimatum"
"umpan"
"unik"
"usang"
"usil"
"valid"
"vulgar"
"wabah"
"waduh"
"wah"
"wajar"
"wakil"
"waktu"
"waria"
"waspada"
"worse"
"worst"
"wow"
"wtf"
"yatim"
"yeah"
"zina"
